Country;Growth rate per annum 2016.1;Growth rate per annum 2005-15;Share 2016.2;Year;Coal Consumption (Mtoe)
Kuwait;0.0;0;0.0;1973;0.0
Saudi Arabia;0.0;0.135340046564;2.67447830993e-05;1973;0.0
Egypt;0.0429787084275;-0.0700429893744;0.000115330782137;1973;0.276412
China;-0.0163160516748;0.0374734655832;0.505774915218;1973;204.965
India;0.0359940327055;0.0649945458839;0.110383033752;1973;39.677507042
New Zealand;-0.154070465658;-0.0453779017436;0.000326689070789;1973;1.457
Pakistan;0.151433659622;0.0220729595435;0.0014435298508;1973;0.582
Singapore;-0.065387810146;0.473898039981;0.000102054436866;1973;0.004342
Taiwan;0.0166169161165;0.00692657047209;0.0103342616931;1973;2.062
of which: OECD;-0.0635863563909;-0.0185102837873;0.244727924466;1973;868.263228289
European Union #;-0.0894687011092;-0.0190480330175;0.0638895332813;1973;446.431847305
Other S. & Cent. America;0.0537230985371;0.0485860446224;0.000906767207198;1974;0.0607345502222
Bulgaria;-0.134507934609;-0.00407387860215;0.00153927190695;1974;8.083
Hungary;-0.0358968587907;-0.0245951449789;0.000612116360571;1974;8.334
Poland;5.38485991628e-05;-0.0123617498132;0.0130780525506;1974;77.583
Portugal;-0.119111420987;-0.00231745571362;0.000771436549257;1974;0.439
Switzerland;0.0;-0.0109550435376;3.47185668943e-05;1974;0.30524505589
Other Europe & Eurasia;-0.00143786643097;0.0107627201173;0.00616857595742;1974;12.3315164272
Qatar;0.0;0;0.0;1974;0.0
Vietnam;-0.0441651203042;0.0945160396416;0.00571485329419;1974;1.854
Belgium;-0.066869925922;-0.0473792954884;0.000798066786956;1975;8.622439162
France;-0.010844501586;-0.0460232119106;0.0022281666752;1975;24.8015554897
Greece;-0.167280140027;-0.0456366075609;0.00125438184477;1975;6.456
Ireland;-0.00706820233222;-0.0198977354988;0.000583056593314;1975;1.701
Slovakia;-0.0496902673913;-0.0252663961555;0.000836301769596;1975;6.775
USSR;;;;1975;341.965498233
United Arab Emirates;0.0;0.241399267969;0.000339632824762;1975;0.0
Turkey;0.103344489277;0.0460004512544;0.0102988220751;2008;29.596
Other Europe & Eurasia;-0.00143786643097;0.0107627201173;0.00616857595742;2008;22.2010025095
Israel;-0.1549140116;-0.0161397093241;0.00153206894174;2008;7.89938041994
United Arab Emirates;0.0;0.241399267969;0.000339632824762;2008;0.343236
South Africa;0.0182933628412;0.00412582185975;0.0228048674762;2008;93.3364177979
Vietnam;-0.0441651203042;0.0945160396416;0.00571485329419;2008;11.434864
Other Asia Pacific;0.212825766898;-0.022657957517;0.00551216769964;2008;20.6354587758
Non-OECD;-0.000356874865061;0.0366586229346;0.755272090435;2008;2353.15508263
European Union #;-0.0894687011092;-0.0190480330175;0.0638895332813;2008;303.609812056
US;-0.0877264090609;-0.0375393468003;0.0960426032543;2009;496.210019117
Venezuela;-0.664134585658;0.183669077472;1.81387804332e-05;2009;0.237253
Czech Republic;0.0165334328673;-0.0197850728486;0.00452848523855;2009;17.6551
Greece;-0.167280140027;-0.0456366075609;0.00125438184477;2009;8.4255
Other Europe & Eurasia;-0.00143786643097;0.0107627201173;0.00616857595742;2009;21.3338544412
Qatar;0.0;0;0.0;2009;0.0
Philippines;0.159749946241;0.0972792308786;0.00361778982915;2009;6.06
South Korea;-0.0481076726431;0.0455108814411;0.0218606740236;2009;68.604
Taiwan;0.0166169161165;0.00692657047209;0.0103342616931;2009;35.223986
European Union #;-0.0894687011092;-0.0190480330175;0.0638895332813;2009;267.373968634
Mexico;-0.229082575174;0.010178880839;0.00262972107157;2010;12.7359204404
Bulgaria;-0.134507934609;-0.00407387860215;0.00153927190695;2010;6.8913
Denmark;0.20831210624;-0.0734968368781;0.000561123655643;2010;3.83264538884
France;-0.010844501586;-0.0460232119106;0.0022281666752;2010;11.510824
Iran;0.0425008436721;0.00500493953075;0.000458321737824;2010;1.285741
Kuwait;0.0;0;0.0;2010;0.0
Qatar;0.0;0;0.0;2010;0.0
Saudi Arabia;0.0;0.135340046564;2.67447830993e-05;2010;0.0675863484
Bangladesh;0.16973782862;0.0372093529425;0.000217760622036;2010;0.808691
China;-0.0163160516748;0.0374734655832;0.505774915218;2010;1748.94891574
India;0.0359940327055;0.0649945458839;0.110383033752;2010;290.401417397
South Korea;-0.0481076726431;0.0455108814411;0.0218606740236;2010;75.896
Taiwan;0.0166169161165;0.00692657047209;0.0103342616931;2010;37.636304
Vietnam;-0.0441651203042;0.0945160396416;0.00571485329419;2010;13.97704
of which: OECD;-0.0635863563909;-0.0185102837873;0.244727924466;2010;1114.83145442
Argentina;-0.224635998086;0.0189168726476;0.000283281347947;2011;1.54790852
Trinidad & Tobago;0.0;0;0.0;2011;0.0
Austria;-0.0229010467692;-0.0208387149297;0.00085092196241;2011;3.47203718002
Czech Republic;0.0165334328673;-0.0197850728486;0.00452848523855;2011;18.4141
Greece;-0.167280140027;-0.0456366075609;0.00125438184477;2011;7.8871
Ireland;-0.00706820233222;-0.0198977354988;0.000583056593314;2011;1.94929774657
Romania;-0.0888050668129;-0.0388247956456;0.00144800066482;2011;8.1617
Switzerland;0.0;-0.0109550435376;3.47185668943e-05;2011;0.13948600363
Qatar;0.0;0;0.0;2011;0.0
United Arab Emirates;0.0;0.241399267969;0.000339632824762;2011;1.339575
Indonesia;0.222283462094;0.0769875959617;0.016800256446;2011;46.880229228
Singapore;-0.065387810146;0.473898039981;0.000102054436866;2011;0.0064
European Union #;-0.0894687011092;-0.0190480330175;0.0638895332813;2011;288.117127142
Mexico;-0.229082575174;0.010178880839;0.00262972107157;2012;12.8345666619
Austria;-0.0229010467692;-0.0208387149297;0.00085092196241;2012;3.23073047697
Belgium;-0.066869925922;-0.0473792954884;0.000798066786956;2012;3.2153
Czech Republic;0.0165334328673;-0.0197850728486;0.00452848523855;2012;17.4074
Denmark;0.20831210624;-0.0734968368781;0.000561123655643;2012;2.47318863117
Finland;0.0795318897561;-0.0223017417173;0.00109810277354;2012;4.5143307538
Poland;5.38485991628e-05;-0.0123617498132;0.0130780525506;2012;51.2293398299
Romania;-0.0888050668129;-0.0388247956456;0.00144800066482;2012;7.6034
Spain;-0.239115158165;-0.0396606255088;0.00279796472751;2012;15.492
Israel;-0.1549140116;-0.0161397093241;0.00153206894174;2012;8.8107447444
Saudi Arabia;0.0;0.135340046564;2.67447830993e-05;2012;0.0738152556
United Arab Emirates;0.0;0.241399267969;0.000339632824762;2012;1.731678
India;0.0359940327055;0.0649945458839;0.110383033752;2012;329.98775268
Other Asia Pacific;0.212825766898;-0.022657957517;0.00551216769964;2012;17.182790868
Canada;-0.0519033188208;-0.0416143063154;0.0050045363605;2013;20.7654789049
Greece;-0.167280140027;-0.0456366075609;0.00125438184477;2013;6.9807
Hungary;-0.0358968587907;-0.0245951449789;0.000612116360571;2013;2.2611
United Arab Emirates;0.0;0.241399267969;0.000339632824762;2013;1.449369
